City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Tiksi,RU,71.69,128.87,-6.52,90,0,6.67,clear sky
84,Lethem,GY,3.38,-59.8,92.12,47,58,4.54,broken clouds
85,Marawi,PH,8.0,124.29,75.0,90,100,1.99,light rain
86,Hermanus,ZA,-34.42,19.23,63.0,81,0,4.0,clear sky
87,Bathsheba,BB,13.22,-59.52,84.2,74,75,20.8,broken clouds
88,Cabo San Lucas,MX,22.89,-109.91,91.4,17,20,9.17,few clouds
89,Telhara,IN,21.03,76.84,71.37,45,0,0.98,clear sky
90,Bengkulu,ID,-3.8,102.27,75.18,87,100,3.85,overcast clouds
91,Harper,LR,4.38,-7.72,78.04,87,71,6.08,broken clouds
92,Matara,LK,5.95,80.54,76.89,85,4,6.31,clear sky
93,Sao Joao Da Barra,BR,-21.64,-41.05,73.4,69,75,23.04,broken clouds
94,Pisco,PE,-13.7,-76.22,66.2,77,90,9.17,overcast clouds
95,Hamilton,US,39.18,-84.53,50.0,37,1,20.8,clear sky
96,Puerto Lopez,CO,4.08,-72.96,74.86,89,100,1.43,light rain
97,Severo-Kurilsk,RU,50.68,156.12,40.26,76,0,3.91,clear sky
98,Cherskiy,RU,68.75,161.3,4.33,94,100,5.26,overcast clouds
99,Gat,IL,31.61,34.76,75.0,68,100,3.69,overcast clouds
100,Foam Lake,CA,51.65,-103.53,44.6,45,50,17.22,scattered clouds
101,Guerrero Negro,MX,27.98,-114.06,81.32,36,22,10.51,few clouds
102,Clyde River,CA,70.47,-68.59,14.0,78,90,4.7,overcast clouds
103,Taoudenni,ML,22.68,-3.98,83.89,15,100,11.59,overcast clouds
104,Belmonte,BR,-15.86,-38.88,69.8,88,90,5.82,shower rain
105,Inhambane,MZ,-23.86,35.38,75.2,69,40,2.24,scattered clouds
106,Khatanga,RU,71.97,102.5,2.75,92,100,5.3,overcast clouds
107,Rawson,AR,-43.3,-65.1,88.21,13,0,11.1,clear sky
108,Zhigansk,RU,66.77,123.37,-3.39,92,82,16.64,broken clouds
109,Hami,CN,42.8,93.45,38.52,60,0,6.6,clear sky
110,Bulawayo,ZW,-20.15,28.58,65.12,67,94,15.68,overcast clouds
111,Shingu,JP,33.73,135.98,58.37,85,0,5.01,clear sky
112,Fairbanks,US,64.84,-147.72,0.0,76,75,4.7,broken clouds
113,Mayma,RU,52.02,85.91,30.85,94,0,3.56,clear sky
114,Avarua,CK,-21.21,-159.78,77.0,83,50,16.11,scattered clouds
115,Bhadrachalam,IN,17.67,80.88,71.47,81,0,2.44,clear sky
116,Vila Velha,BR,-20.33,-40.29,75.2,73,75,12.75,broken clouds
117,Lodeynoye Pole,RU,60.73,33.55,31.01,97,0,4.41,clear sky
118,Bethel,US,41.37,-73.41,48.99,100,90,12.75,moderate rain
119,Chokurdakh,RU,70.63,147.92,0.61,94,100,10.78,light snow
120,Qaanaaq,GL,77.48,-69.36,1.08,74,0,7.56,clear sky
121,Pocone,BR,-16.26,-56.62,89.49,43,12,6.69,few clouds
122,Sicuani,PE,-14.27,-71.23,61.57,42,46,2.17,light rain
123,Quatre Cocos,MU,-20.21,57.76,69.8,64,20,9.17,few clouds
124,Thompson,CA,55.74,-97.86,21.2,85,90,11.41,overcast clouds
125,Bara,NG,10.37,10.73,80.17,29,53,6.4,broken clouds
126,Cockburn Town,TC,21.46,-71.14,86.0,62,75,13.87,broken clouds
127,Georgetown,MY,5.41,100.34,78.8,88,20,3.36,few clouds
128,Bandarbeyla,SO,9.49,50.81,77.29,76,0,20.4,clear sky
129,Luohe,CN,33.57,114.04,54.05,40,0,5.66,clear sky
